driver_id,driver_name,join_date,rating,total_rides,earnings
101,Seher Bava,2023-03-08,4.63,112,1442.1
102,Uthkarsh Dayal,2022-10-25,3.36,433,4818.06
103,Ayesha Reddy,2022-10-17,4.98,466,1613.25
104,Veer D’Alia,2023-03-26,3.5,426,3664.06
105,Zoya Dixit,2023-01-21,4.21,95,3880.99
106,Farhan Bajwa,2023-06-25,3.4,66,3561.11
107,Nirvi Ganesh,2022-01-10,4.96,299,3369.56
108,Charvi Taneja,2023-02-19,3.53,260,2971.04
109,Vanya Mane,2023-02-01,3.45,461,4950.14
110,Zeeshan Doctor,2023-07-20,4.89,101,763.17
111,Bhamini Bhattacharyya,2023-11-01,4.17,194,1261.25
112,Samar Bahri,2023-01-30,4.42,219,3734.68
113,Fateh Raval,2023-02-08,4.84,361,1534.21
114,Hridaan Bajaj,2023-07-31,4.77,163,3225.29
115,Kabir Kothari,2023-09-06,4.33,337,2173.77
116,Shanaya Saran,2023-06-27,4.18,157,574.87
117,Sumer Lala,2023-12-03,3.02,105,3795.24
118,Advika Reddy,2022-04-10,3.7,265,1847.12
119,Shaan Kota,2022-11-15,4.77,429,1256.51
120,Vanya Manne,2022-09-27,4.11,123,4782.26
121,Advika Chauhan,2023-06-28,3.45,405,1712.38
122,Sana Dhar,2023-12-05,3.52,193,4681.3
123,Romil Ghosh,2022-10-21,3.56,101,1967.46
124,Shaan Ratti,2022-09-14,3.49,117,4861.23
125,Jayant Chander,2022-10-30,3.99,273,700.03
126,Raunak Balay,2023-07-23,4.99,353,1436.15
127,Vivaan Kadakia,2023-05-20,4.31,157,4330.07
128,Vidur Rajagopal,2023-07-02,3.17,225,2826.55
129,Aarush Mammen,2023-04-13,3.35,387,2098.31
130,Jivin Chander,2023-01-02,4.32,303,1987.06
131,Adah Deshpande,2022-11-23,3.67,345,650.54
132,Renee Dugar,2023-02-21,4.93,366,728.82
133,Onkar Master,2023-07-06,3.4,296,743.66
134,Dharmajan Babu,2023-05-03,3.21,460,4314.5
135,Hiran Sahni,2023-07-13,4.96,360,3273.87
136,Nirvi Rege,2023-01-28,3.66,135,3419.37
137,Anay Arora,2022-12-27,4.68,182,3433.81
138,Advika Gour,2023-11-05,3.38,203,4366.35
139,Aarav Dayal,2023-05-05,4.34,221,4162.87
140,Yuvraj  Mani,2022-12-30,3.48,323,668.1
141,Raunak Luthra,2023-01-02,4.41,320,2981.06
142,Suhana Toor,2023-01-04,3.99,294,4319.45
143,Nakul Swaminathan,2022-12-11,3.15,201,1841.59
144,Bhamini Dani,2022-11-26,3.38,233,3510.27
145,Adira Dash,2023-07-25,3.13,291,3723.25
146,Manjari Warrior,2022-06-09,4,416,2554.78
147,Arhaan Dutt,2023-10-06,4.63,459,2767.79
148,Kimaya Sur,2022-08-23,4.91,88,4900.94
149,Elakshi Mahal,2023-03-30,4.47,484,1853.37
150,Ishita Singhal,2023-03-02,4.05,408,2339.03
151,Lagan Golla,2023-05-26,4.05,278,2858.61
152,Armaan Dayal,2022-10-30,3.73,402,3512.72
153,Reyansh Chawla,2023-07-14,3.04,458,4751.06
154,Lakshit Srinivas,2023-06-20,4.71,361,3218.9
155,Kabir Wadhwa,2023-04-04,3.65,50,4820.41
156,Aradhya Lal,2022-05-11,3.12,499,1660.43
157,Hrishita Mangat,2022-11-14,4.89,270,4275.88
158,Hansh Mall,2023-04-21,3.46,393,2948.97
159,Nirvaan Ganesh,2023-04-18,3.6,66,3158.25
160,Piya Khurana,2022-11-29,3.8,417,4987.8
161,Zoya Handa,2023-01-17,3.21,125,558.05
162,Tara Tella,2023-05-05,3.91,202,809.97
163,Arhaan Shukla,2022-11-28,4.74,469,2501.94
164,Parinaaz Batra,2023-07-14,3.5,282,3756.16
165,Shanaya Krishnan,2023-03-24,3.47,388,782
166,Madhav Korpal,2022-09-12,3.79,131,1484.45
167,Jiya Sani,2023-04-13,3.49,444,1063.51
168,Neelofar Kannan,2022-05-12,4.48,404,2355.1
169,Arnav Sibal,2023-06-30,4.63,138,4776.79
170,Kabir Shetty,2022-10-18,3.53,414,1417.47
171,Gokul Rama,2022-11-10,3.97,83,2454.77
172,Prerak Srinivasan,2022-12-21,3,448,3788.29
173,Nirvaan Karnik,2023-02-23,4.86,436,3886.44
174,Anika Loyal,2022-09-22,4.07,231,4634.55
175,Azad Ramanathan,2022-05-11,3.16,279,1652.07
176,Kabir Srivastava,2022-08-25,3.89,116,4854.12
177,Divij Ratta,2022-06-09,3.3,109,3649.62
178,Ishaan Ben,2023-07-06,4.38,383,1059.73
179,Fateh Varma,2022-08-09,3.97,353,2170.86
180,Anahi Loke,2022-09-20,4.07,397,4264.59
181,Farhan Mangat,2023-02-15,3.3,292,2411.43
182,Akarsh Tailor,2022-12-23,4.88,65,1898.57
183,Shamik Dasgupta,2022-01-09,4.65,50,3001.78
184,Raunak Goswami,2023-06-23,3.24,436,1066.21
185,Nakul Jain,2023-06-02,4.25,92,881.95
186,Jiya Johal,2023-04-24,3.5,364,3606.01
187,Kabir Kohli,2023-07-15,4.89,402,4187.2
188,Anvi Walia,2022-08-14,4.84,83,4154.9
189,Reyansh Bansal,2023-07-04,3.8,484,2957.91
190,Ela Chandran,2022-10-24,4.47,247,4179.86
191,Azad Rege,2022-08-19,4.25,111,4865.08
192,Divit Lad,2022-12-24,4.14,393,2450.15
193,Hazel Chandra,2022-02-12,4.79,342,3458.42
194,Dharmajan Krish,2023-01-29,4.78,479,2130.19
195,Ehsaan Kalla,2023-01-01,3.17,329,2324.99
196,Misha Thakkar,2022-10-21,3.8,95,2512.15
197,Indrans Mand,2023-07-01,4.72,158,3763.25
198,Mannat Batta,2023-07-16,3.98,65,2282
199,Armaan Garg,2023-06-04,4.91,353,3460.85
200,Manjari Dani,2023-05-08,3.99,449,4907.61
201,Bhavin Ravel,2022-09-13,4.95,406,3923.88
202,Aayush Kashyap,2023-07-31,3.62,420,3400.64
203,Shaan Kala,2022-12-29,4.32,389,4776.79
204,Vritika Chaudry,2022-10-23,3.79,350,1752.39
205,Jhanvi Randhawa,2023-05-13,4.71,279,2417.12
206,Anaya Gola,2023-03-24,4.9,110,2282.96
207,Hiran Edwin,2022-08-21,3.15,324,1317.79
208,Indrajit Shere,2022-12-29,3.92,421,2202.1
209,Jayesh Gopal,2023-02-18,4.85,195,1552.42
210,Aayush Bains,2022-12-18,3.52,127,4916.84
211,Gatik Gera,2022-09-22,3.54,309,4588.28
212,Shalv Raman,2022-09-27,3.87,327,4700.02
213,Inaaya  Agrawal,2023-11-04,4.91,68,3176.08
214,Kashvi Srinivasan,2022-09-12,4.7,492,666.62
215,Vaibhav Singhal,2022-10-09,4.33,495,1500.82
216,Vanya Gaba,2023-07-17,4.05,324,1731.93
217,Nirvi Cheema,2023-02-28,4.39,194,529.26
218,Azad Hari,2022-11-08,4.85,87,4895.01
219,Elakshi Bawa,2023-02-18,4.37,340,2200.8
220,Kabir Sachar,2022-10-18,4.01,256,629.21
221,Advik Kala,2022-12-10,3.38,324,1087.71
222,Anvi Basu,2022-02-10,4.1,441,4432.51
223,Aniruddh Dada,2023-05-05,3.16,205,3285.74
224,Sana Kamdar,2022-08-21,3.72,264,1275.18
225,Eva Ghosh,2022-08-23,4.4,164,688.98
226,Shanaya Kala,2022-08-24,4.29,436,4222.43
227,Jiya Raval,2023-06-01,4.09,251,1804.05
228,Aradhya Brahmbhatt,2023-08-03,4.8,302,3397.64
229,Ishita Bassi,2023-05-20,4.31,292,2300.27
230,Ayesha Jha,2022-11-23,3.53,219,2614.32
231,Fateh Mand,2023-03-01,3.15,284,2627.78
232,Nehmat Karnik,2023-03-07,4.09,81,4484.79
233,Dishani Jayaraman,2022-11-30,4.67,403,4329.39
234,Tushar Talwar,2022-11-15,4.13,152,1989.39
235,Farhan Mani,2022-11-18,3.95,489,4553.82
236,Anahi Lata,2023-02-26,4.4,499,4797.79
